age,M,A,AIME,Wage,Aopt,Copt,Hopt,Bopt,nextAIMEopt,Iopt,pbopt,ssopt,value
95,1,392e3,15960,0,389708.67,26603.08,0,1,15960,17046.95,5858.06,7264.8,-0.3230593838
95,1,392e3,22920,0,395262.81,26603.08,0,1,22920,20463.7,10419.81,9402.2,-0.3210407224
95,1,392e3,29880,0,397845.76,26603.08,0,1,29880,22002.64,12647.96,10446.2,-0.3201106137
95,1,392e3,36840,0,400231.33,26603.08,0,1,36840,23344.21,14876.12,11490.2,-0.3192564084
95,1,392e3,43800,0,402616.9,26603.08,0,1,43800,24685.79,17104.27,12534.2,-0.3184068027
95,1,426666.67,2e3,0,415017.91,27401.17,0,1,2e3,13952.42,339.85,1800,-0.313779542
95,1,426666.67,3750,0,416825.09,27401.17,0,1,3750,14202,673.06,3357.6,-0.3131565138
95,1,426666.67,5500,0,417474.82,27401.17,0,1,5500,14291.73,792.86,3917.6,-0.3129331291
95,1,426666.67,7250,0,418124.55,27401.17,0,1,7250,14381.46,912.66,4477.6,-0.3127100665
95,1,426666.67,9e3,0,418828.36,27401.17,0,1,9e3,14525.27,1104.67,5037.6,-0.3124687997
95,1,426666.67,15960,0,424615.86,27401.17,0,1,15960,18085.56,5858.06,7264.8,-0.3104990309
95,1,426666.67,22920,0,430163.67,27401.17,0,1,22920,21495.98,10419.81,9402.2,-0.3086342743
95,1,426666.67,29880,0,431727.21,28223.21,0,1,29880,22837.55,12647.96,10446.2,-0.3078379601
95,1,426666.67,36840,0,434112.78,28223.21,0,1,36840,24179.13,14876.12,11490.2,-0.307045772
95,1,426666.67,43800,0,436498.36,28223.21,0,1,43800,25520.7,17104.27,12534.2,-0.3062576952
95,1,461333.33,2e3,0,449901.16,28223.21,0,1,2e3,14991.03,339.85,1800,-0.3019050174
95,1,461333.33,3750,0,451708.34,28223.21,0,1,3750,15240.61,673.06,3357.6,-0.3013276749
95,1,461333.33,5500,0,452358.07,28223.21,0,1,5500,15330.34,792.86,3917.6,-0.3011206499
95,1,461333.33,7250,0,453007.8,28223.21,0,1,7250,15420.07,912.66,4477.6,-0.3009139125
95,1,461333.33,9e3,0,453711.61,28223.21,0,1,9e3,15563.88,1104.67,5037.6,-0.3006902909
95,1,461333.33,15960,0,458652.41,29069.91,0,1,15960,19124.18,5858.06,7264.8,-0.2988633116
