C, utils, Evtpo, value
   2836.6823969173,               NaN,     -1.5899586834,               NaN
   2847.9799363473,               NaN,     -1.5900930508,******************
   2859.2774757772,               NaN,     -1.5902274182,               NaN
   2870.5750152072,               NaN,     -1.5903617856,******************
   2881.8725546371,               NaN,     -1.5904961531,               NaN
   2893.1700940671,               NaN,     -1.5906305205,******************
   2904.4676334970,               NaN,     -1.5907648880,               NaN
   2915.7651729270,               NaN,     -1.5908992555,******************
   2927.0627123569,               NaN,     -1.5910336230,               NaN
   2938.3602517869,               NaN,     -1.5911679905,******************
   2949.6577912168,               NaN,     -1.5913023580,               NaN
   2960.9553306468,               NaN,     -1.5914367256,******************
   2972.2528700767,               NaN,     -1.5915710932,               NaN
   2983.5504095067,               NaN,     -1.5917054608,******************
   2994.8479489366,               NaN,     -1.5918398284,               NaN
   3006.1454883666,               NaN,     -1.5919741960,******************
   3017.4430277965,               NaN,     -1.5921085637,               NaN
   3028.7405672265,               NaN,     -1.5922429314,******************
   3040.0381066564,               NaN,     -1.5923772991,               NaN
   3051.3356460864,               NaN,     -1.5925116668,******************
   3062.6331855163,               NaN,     -1.5926460345,               NaN
   3073.9307249463,               NaN,     -1.5927804023,******************
   3085.2282643762,               NaN,     -1.5929147700,               NaN
   3096.5258038062,               NaN,     -1.5930491378,******************
   3107.8233432361,               NaN,     -1.5931835056,               NaN
   3119.1208826661,               NaN,     -1.5933178734,******************
   3130.4184220960,               NaN,     -1.5934522413,               NaN
   3141.7159615260,               NaN,     -1.5935866091,******************
   3153.0135009559,               NaN,     -1.5937209770,               NaN
   3164.3110403859,               NaN,     -1.5938553449,******************
   3175.6085798158,               NaN,     -1.5939897128,               NaN
   3186.9061192458,               NaN,     -1.5941240808,******************
   3198.2036586757,               NaN,     -1.5942584487,               NaN
   3209.5011981057,               NaN,     -1.5943928167,******************
   3220.7987375356,               NaN,     -1.5945271847,               NaN
   3232.0962769656,               NaN,     -1.5946615527,******************
   3243.3938163955,               NaN,     -1.5947959207,               NaN
   3254.6913558255,               NaN,     -1.5949302888,******************
   3265.9888952554,               NaN,     -1.5950646568,               NaN
   3277.2864346854,               NaN,     -1.5951990249,******************
   3288.5839741153,               NaN,     -1.5953333930,               NaN
   3299.8815135453,               NaN,     -1.5954677611,******************
   3311.1790529752,               NaN,     -1.5956021293,               NaN
   3322.4765924052,               NaN,     -1.5957364974,******************
   3333.7741318351,               NaN,     -1.5958708656,               NaN
   3345.0716712651,               NaN,     -1.5960052338,******************
   3356.3692106950,               NaN,     -1.5961396020,               NaN
   3367.6667501250,               NaN,     -1.5962739703,******************
   3378.9642895549,               NaN,     -1.5964083385,               NaN
   3390.2618289849,               NaN,     -1.5965427068,******************
   3401.5593684148,               NaN,     -1.5966770751,               NaN
   3412.8569078448,               NaN,     -1.5968114434,******************
   3424.1544472747,               NaN,     -1.5969458117,               NaN
   3435.4519867047,               NaN,     -1.5970801800,******************
   3446.7495261346,               NaN,     -1.5972145484,               NaN
   3458.0470655646,               NaN,     -1.5973489168,******************
   3469.3446049945,               NaN,     -1.5974832852,               NaN
   3480.6421444245,               NaN,     -1.5976176536,******************
   3491.9396838544,               NaN,     -1.5977520220,               NaN
   3503.2372232844,               NaN,     -1.5978863905,******************
   3514.5347627143,               NaN,     -1.5980207590,               NaN
   3525.8323021443,               NaN,     -1.5981551275,******************
   3537.1298415742,               NaN,     -1.5982894960,               NaN
   3548.4273810042,               NaN,     -1.5984238645,******************
   3559.7249204341,               NaN,     -1.5985582331,               NaN
   3571.0224598641,               NaN,     -1.5986926016,******************
   3582.3199992940,               NaN,     -1.5988269702,               NaN
   3593.6175387240,               NaN,     -1.5989613388,******************
   3604.9150781539,               NaN,     -1.5990957074,               NaN
   3616.2126175839,               NaN,     -1.5992300761,******************
   3627.5101570138,               NaN,     -1.5993644448,               NaN
   3638.8076964438,               NaN,     -1.5994988134,******************
   3650.1052358737,               NaN,     -1.5996331821,               NaN
   3661.4027753037,               NaN,     -1.5997675508,******************
   3672.7003147336,               NaN,     -1.5999019196,               NaN
   3683.9978541636,               NaN,     -1.6000362883,******************
   3695.2953935935,               NaN,     -1.6001706571,               NaN
   3706.5929330235,               NaN,     -1.6003050259,******************
   3717.8904724534,               NaN,     -1.6004393947,               NaN
   3729.1880118834,               NaN,     -1.6005742907,******************
   3740.4855513133,               NaN,     -1.6007305956,               NaN
   3751.7830907433,               NaN,     -1.6008869006,******************
   3763.0806301732,               NaN,     -1.6010432055,               NaN
   3774.3781696032,               NaN,     -1.6011995105,******************
   3785.6757090331,               NaN,     -1.6013558155,               NaN
   3796.9732484631,               NaN,     -1.6015121205,******************
   3808.2707878930,               NaN,     -1.6016684256,               NaN
   3819.5683273230,               NaN,     -1.6018247306,******************
   3830.8658667529,               NaN,     -1.6019810357,               NaN
   3842.1634061829,               NaN,     -1.6021373408,******************
   3853.4609456128,               NaN,     -1.6022936459,               NaN
   3864.7584850428,               NaN,     -1.6024499510,******************
   3876.0560244727,               NaN,     -1.6026062562,               NaN
   3887.3535639027,               NaN,     -1.6027625613,******************
   3898.6511033326,               NaN,     -1.6029188665,               NaN
   3909.9486427626,               NaN,     -1.6030751717,******************
   3921.2461821925,               NaN,     -1.6032314769,               NaN
   3932.5437216225,               NaN,     -1.6033877822,******************
   3943.8412610524,               NaN,     -1.6035440874,               NaN
   3955.1388004824,               NaN,     -1.6037003927,******************
   3966.4363399123,               NaN,     -1.6038566980,               NaN
   3977.7338793423,               NaN,     -1.6040130033,******************
   3989.0314187722,               NaN,     -1.6041693087,               NaN
   4000.3289582021,               NaN,     -1.6043256140,******************
   4011.6264976321,               NaN,     -1.6044819194,               NaN
   4022.9240370620,               NaN,     -1.6046382248,******************
   4034.2215764920,               NaN,     -1.6047945302,               NaN
   4045.5191159219,               NaN,     -1.6049508356,******************
   4056.8166553519,               NaN,     -1.6051071411,               NaN
   4068.1141947818,               NaN,     -1.6052634465,******************
   4079.4117342118,               NaN,     -1.6054197520,               NaN
   4090.7092736417,               NaN,     -1.6055760575,******************
   4102.0068130717,               NaN,     -1.6057323631,               NaN
   4113.3043525016,               NaN,     -1.6058886686,******************
   4124.6018919316,               NaN,     -1.6060449742,               NaN
   4135.8994313615,               NaN,     -1.6062012797,******************
   4147.1969707915,               NaN,     -1.6063575853,               NaN
   4158.4945102214,               NaN,     -1.6065138909,******************
   4169.7920496514,               NaN,     -1.6066701966,               NaN
   4181.0895890813,               NaN,     -1.6068265022,******************
   4192.3871285113,               NaN,     -1.6069828079,               NaN
   4203.6846679412,               NaN,     -1.6071391136,******************
   4214.9822073712,               NaN,     -1.6072954193,               NaN
   4226.2797468011,               NaN,     -1.6074517250,******************
   4237.5772862311,               NaN,     -1.6076080308,               NaN
   4248.8748256610,               NaN,     -1.6077643365,******************
   4260.1723650910,               NaN,     -1.6079206423,               NaN
   4271.4699045209,               NaN,     -1.6080769481,******************
   4282.7674439509,               NaN,     -1.6082332540,               NaN
   4294.0649833808,               NaN,     -1.6083895598,******************
   4305.3625228108,               NaN,     -1.6085458657,               NaN
   4316.6600622407,               NaN,     -1.6087021715,******************
   4327.9576016707,               NaN,     -1.6088584774,               NaN
   4339.2551411006,               NaN,     -1.6090147833,******************
   4350.5526805306,               NaN,     -1.6091710893,               NaN
   4361.8502199605,               NaN,     -1.6093273952,******************
   4373.1477593905,               NaN,     -1.6094837012,               NaN
   4384.4452988204,               NaN,     -1.6096400072,******************
   4395.7428382504,               NaN,     -1.6097963132,               NaN
   4407.0403776803,               NaN,     -1.6099526192,******************
   4418.3379171103,               NaN,     -1.6101089253,               NaN
   4429.6354565402,               NaN,     -1.6102652313,******************
   4440.9329959702,               NaN,     -1.6104215374,               NaN
   4452.2305354001,               NaN,     -1.6105778435,******************
   4463.5280748301,               NaN,     -1.6107341497,               NaN
   4474.8256142600,               NaN,     -1.6108904558,******************
   4486.1231536900,               NaN,     -1.6110467620,               NaN
   4497.4206931199,               NaN,     -1.6112030681,******************
   4508.7182325499,               NaN,     -1.6113593743,               NaN
   4520.0157719798,               NaN,     -1.6115156805,******************
   4531.3133114098,               NaN,     -1.6116719868,               NaN
   4542.6108508397,               NaN,     -1.6118282930,******************
   4553.9083902697,               NaN,     -1.6119845993,               NaN
   4565.2059296996,               NaN,     -1.6121409056,******************
   4576.5034691296,               NaN,     -1.6122972119,               NaN
   4587.8010085595,               NaN,     -1.6124535182,******************
   4599.0985479895,               NaN,     -1.6126098246,               NaN
   4610.3960874194,               NaN,     -1.6127661309,******************
   4621.6936268494,               NaN,     -1.6129224373,               NaN
   4632.9911662793,               NaN,     -1.6130787437,******************
   4644.2887057093,               NaN,     -1.6132350501,               NaN
   4655.5862451392,               NaN,     -1.6133913566,******************
   4666.8837845692,               NaN,     -1.6135476630,               NaN
   4678.1813239991,               NaN,     -1.6137039695,******************
   4689.4788634291,               NaN,     -1.6138602760,               NaN
   4700.7764028590,               NaN,     -1.6140165825,******************
   4712.0739422890,               NaN,     -1.6141728891,               NaN
   4723.3714817189,               NaN,     -1.6143291956,******************
   4734.6690211489,               NaN,     -1.6144855022,               NaN
   4745.9665605788,               NaN,     -1.6146418088,******************
   4757.2641000088,               NaN,     -1.6147981154,               NaN
   4768.5616394387,               NaN,     -1.6149544220,******************
   4779.8591788687,               NaN,     -1.6151107287,               NaN
   4791.1567182986,               NaN,     -1.6152670353,******************
   4802.4542577286,               NaN,     -1.6154233420,               NaN
   4813.7517971585,               NaN,     -1.6155796487,******************
   4825.0493365885,               NaN,     -1.6157359554,               NaN
   4836.3468760184,               NaN,     -1.6158922622,******************
   4847.6444154484,               NaN,     -1.6160485689,               NaN
   4858.9419548783,               NaN,     -1.6162048757,******************
   4870.2394943083,               NaN,     -1.6163611825,               NaN
   4881.5370337382,               NaN,     -1.6165174893,******************
   4892.8345731682,               NaN,     -1.6166737962,               NaN
   4904.1321125981,               NaN,     -1.6168301030,******************
   4915.4296520281,               NaN,     -1.6169864099,               NaN
   4926.7271914580,               NaN,     -1.6171427168,******************
